name,chembl_id,chembl_max_phase,indication_class,molecular_weight,logP,PSA,H_donors,H_acceptors,rotatable_bonds,SMILES,smiles_source,source,sources,ingredient,earliest_patent_expiry,earliest_exclusivity_date,ema_approved,pmda_approved,nosa_candidate,pubchem_cid,vapor_pressure_mmhg,vapor_pressure_raw,melting_point_c,melting_point_raw,boiling_point_c,boiling_point_raw
DIETHYLSTILBESTROL,CHEMBL411,4.0,,268.36,4.83,40.46,2.0,2.0,4.0,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,chembl,chembl,chembl,DIETHYLSTILBESTROL,,,False,False,False,448537.0,,,168.88888888888889,"336 to 342 °F (NTP, 1992)",,
MECAMYLAMINE,CHEMBL267936,4.0,,167.30,2.42,12.03,1.0,1.0,1.0,CNC1(C)C2CCC(C2)C1(C)C,chembl,chembl,chembl,MECAMYLAMINE HYDROCHLORIDE,,,False,False,False,4032.0,,,25.0,< 25 °C,,
CARBACHOL,CHEMBL14,4.0,,182.65,-0.21,52.32,1.0,2.0,3.0,C[N+](C)(C)CCOC(N)=O.[Cl-],chembl,chembl,chembl,CARBACHOL,2030-05-24,2029-01-28,False,False,False,5831.0,,,200.0,"392 to 401 °F (EPA, 1998)",,
PHENYTOIN,CHEMBL16,4.0,,252.27,1.77,58.20,2.0,2.0,2.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,chembl,chembl,chembl,PHENYTOIN SODIUM,,,False,False,False,1775.0,,,295.0,"563 to 568 °F (NTP, 1992)",,
SIROLIMUS,CHEMBL413,4.0,,914.19,6.18,195.43,3.0,13.0,6.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,chembl,chembl,chembl,SIROLIMUS,2029-02-14,2028-11-22,True,True,False,5284616.0,,,183.0,183-185 °C,183.0,183-185
TACROLIMUS ANHYDROUS,CHEMBL269732,4.0,,804.03,4.64,178.36,3.0,12.0,7.0,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,chembl,chembl,chembl,,,,False,False,False,445643.0,,,,,,
CLOMIPRAMINE,CHEMBL415,4.0,,314.86,4.53,6.48,0.0,2.0,4.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,chembl,chembl,chembl,CLOMIPRAMINE HYDROCHLORIDE,,,False,False,False,2801.0,,,191.5,191.5-192,160.0,160-170 °C at 3.00E-01 mm Hg
METHOXSALEN,CHEMBL416,4.0,,216.19,2.55,52.58,0.0,4.0,1.0,COc1c2occc2cc2ccc(=O)oc12,chembl,chembl,chembl,METHOXSALEN,,,False,False,False,4114.0,,,147.77777777777777,"298 °F (NTP, 1992)",,
DICHLORPHENAMIDE,CHEMBL17,4.0,,305.16,0.29,120.32,2.0,4.0,2.0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,chembl,chembl,chembl,DICHLORPHENAMIDE,,,False,False,False,3038.0,,,239.0,239-241 °C,,
ETHOXZOLAMIDE,CHEMBL18,4.0,,258.32,1.34,82.28,1.0,5.0,3.0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,chembl,chembl,chembl,ETHOXZOLAMIDE,,,False,False,False,3295.0,,,188.0,188-190.5,,
EPIRUBICIN,CHEMBL417,4.0,,543.53,0.00,206.07,6.0,12.0,5.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,chembl,chembl,chembl,EPIRUBICIN HYDROCHLORIDE,,,False,False,False,41867.0,,,344.53,344.53 °C,,
METHAZOLAMIDE,CHEMBL19,4.0,,236.28,-1.42,107.41,1.0,6.0,1.0,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,chembl,chembl,chembl,METHAZOLAMIDE,,,False,False,False,4100.0,,,,,,
ACETAZOLAMIDE,CHEMBL20,4.0,,222.25,-0.86,115.04,2.0,6.0,2.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,chembl,chembl,chembl,ACETAZOLAMIDE,,,False,False,False,1986.0,,,257.77777777777777,"496 to 498 °F (effervescence) (NTP, 1992)",,
MAFENIDE,CHEMBL419,4.0,,186.24,-0.21,86.18,2.0,3.0,2.0,NCc1ccc(S(N)(=O)=O)cc1,chembl,chembl,chembl,MAFENIDE ACETATE,,,False,False,False,3998.0,,,,,,
SULFANILAMIDE,CHEMBL21,4.0,,172.21,-0.08,86.18,2.0,3.0,1.0,Nc1ccc(S(N)(=O)=O)cc1,chembl,chembl,chembl,SULFANILAMIDE,,,False,False,False,5333.0,7.3e-06,0.0000073 [mmHg],165.0,"329 to 331 °F (NTP, 1992)",,
GUANABENZ,CHEMBL420,4.0,,231.09,1.81,74.26,3.0,2.0,2.0,N=C(N)N/N=C/c1c(Cl)cccc1Cl,chembl,chembl,chembl,GUANABENZ ACETATE,,,False,False,False,5702063.0,,,225.0,225-227,,
TRIMETHOPRIM,CHEMBL22,4.0,,290.32,1.26,105.51,2.0,7.0,5.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,chembl,chembl,chembl,TRIMETHOPRIM,,,False,False,False,5578.0,,,198.88888888888889,"390 to 397 °F (NTP, 1992)",,
VERAPAMIL,CHEMBL6966,4.0,,454.61,5.09,63.95,0.0,6.0,13.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,chembl,chembl,chembl,VERAPAMIL HYDROCHLORIDE,,,False,False,False,2520.0,,,25.0,< 25 °C,245.0,BP: 245 °C at 0.01 mm Hg
SULFASALAZINE,CHEMBL421,4.0,,398.40,3.70,141.31,3.0,7.0,6.0,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,chembl,chembl,chembl,SULFASALAZINE,,,False,False,False,5339.0,,,,,,
COUMARIN,CHEMBL6466,4.0,,146.14,1.79,30.21,0.0,2.0,0.0,O=c1ccc2ccccc2o1,chembl,chembl,chembl,,,,False,False,False,323.0,0.01,"0.01 mmHg at 117 °F ; 1 mmHg at 223 °F (NTP, 1992)",67.77777777777777,"154 to 158 °F (NTP, 1992)",297.77777777777777,"568 °F at 760 mmHg (NTP, 1992)"
DILTIAZEM,CHEMBL23,4.0,,414.53,3.37,59.08,0.0,6.0,6.0,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,chembl,chembl,chembl,DILTIAZEM HYDROCHLORIDE,,,False,False,False,39186.0,,,187.0,187-188,,Decomposes
ATENOLOL,CHEMBL24,4.0,,266.34,0.45,84.58,3.0,4.0,8.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,chembl,chembl,chembl,ATENOLOL,,,False,False,False,2249.0,,,158.0,158-160,,
ASPIRIN,CHEMBL25,4.0,,180.16,1.31,63.60,1.0,3.0,2.0,CC(=O)Oc1ccccc1C(=O)O,chembl,chembl,chembl,ASPIRIN,2032-09-29,,False,False,False,2244.0,0.0,"0 mmHg (approx) (NIOSH, 2024)",135.0,"275 °F (NTP, 1992)",140.0,"284 °F at 760 mmHg (decomposes) (NTP, 1992)"
TRIFLUOPERAZINE,CHEMBL422,4.0,,407.51,4.95,9.72,0.0,4.0,4.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,chembl,chembl,chembl,TRIFLUOPERAZINE HYDROCHLORIDE,,,False,False,False,5566.0,,,242.0,"Cream-colored, fine powder from absolute alcohol; MP: 242-243 °C; pH of 5% aq soln= 2.2, Hygroscopic /Dihydrochloride/",202.0,202-210 °C @ 0.6 mm Hg
