name,chembl_id,chembl_max_phase,indication_class,molecular_weight,logP,PSA,H_donors,H_acceptors,rotatable_bonds,SMILES,smiles_source,source,sources,ingredient,earliest_patent_expiry,earliest_exclusivity_date,ema_approved,pmda_approved,nosa_candidate,pubchem_cid,vapor_pressure_mmhg,vapor_pressure_raw,melting_point_c,melting_point_raw,boiling_point_c,boiling_point_raw
MECLOFENAMATE SODIUM,CHEMBL1562610,4.0,,336.15,4.74,49.33,2.0,2.0,3.0,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],chembl,chembl,chembl,MECLOFENAMATE SODIUM,,,False,False,False,4038.0,,,,,,
OMEPRAZOLE MAGNESIUM,CHEMBL1567328,4.0,,713.14,2.90,83.09,1.0,5.0,5.0,COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.[Mg+2],chembl,chembl,chembl,OMEPRAZOLE MAGNESIUM,2034-02-12,2022-11-01,False,False,False,130564.0,,,,,,
GANAXOLONE,CHEMBL1568698,4.0,,332.53,4.99,37.30,1.0,2.0,1.0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,chembl,chembl,chembl,GANAXOLONE,2026-11-28,2027-06-01,False,False,False,6918305.0,,,190.0,190-198C,,
ISOCONAZOLE,CHEMBL1571863,4.0,,416.13,6.45,27.05,0.0,3.0,6.0,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,chembl,chembl,chembl,,,,False,False,False,,,,,,,
BISMUTH SUBGALLATE,CHEMBL1592101,4.0,,394.09,,,,,,O[Bi]1OC2=C(O1)C(O)=CC(=C2)C(O)=O,drugcentral,chembl,chembl|drugcentral,,,,False,False,False,73415769.0,,,,,,
PHENICARBAZIDE,CHEMBL1593719,4.0,,151.17,0.68,67.15,3.0,2.0,2.0,NC(=O)NNc1ccccc1,chembl,chembl,chembl,,,,False,False,False,61002.0,,,,,,
LEVOPROPOXYPHENE NAPSYLATE,CHEMBL1593906,4.0,,547.72,4.28,29.54,0.0,3.0,8.0,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C.O=S(=O)(O)c1ccc2ccccc2c1,chembl,chembl,chembl,,,,False,False,False,16051927.0,,,,,,
PYRANTEL PAMOATE,CHEMBL1599768,4.0,,594.69,2.50,15.60,0.0,3.0,2.0,CN1CCCN=C1/C=C/c1cccs1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,chembl,chembl,chembl,,,,False,False,False,,,,,,,
ALFACALCIDOL,CHEMBL1601669,4.0,,400.65,6.59,40.46,2.0,2.0,6.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,chembl,chembl,chembl,,,,False,False,False,,,,,,,
SELUMETINIB,CHEMBL1614701,4.0,,457.69,3.53,88.41,3.0,6.0,6.0,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,chembl,chembl,chembl,SELUMETINIB SULFATE,2026-03-13,2027-04-10,False,False,False,10127622.0,,,,,,
CLOMACRAN,CHEMBL1615350,4.0,,300.83,4.87,15.27,1.0,2.0,4.0,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,chembl,chembl,chembl,,,,False,False,False,21382.0,,,,,,
LEVOMEFOLATE CALCIUM,CHEMBL1615371,4.0,,497.53,-0.26,202.77,7.0,9.0,9.0,CN1c2c([nH]c(N)nc2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1.[Ca+2],chembl,chembl,chembl,LEVOMEFOLATE CALCIUM,2030-02-08,,False,False,False,135564391.0,,,,,,
PHENDIMETRAZINE,CHEMBL1615439,4.0,,191.27,2.08,12.47,0.0,2.0,1.0,C[C@H]1[C@H](c2ccccc2)OCCN1C,chembl,chembl,chembl,PHENDIMETRAZINE TARTRATE,,,False,False,False,30487.0,,,208.0,MP: 208 °C; specific optical rotation: +35.7 deg at 20 °C/D /Phendimetrazine hydrochloride/,122.0,122-124 °C at 8 mm Hg; 134-135 °C at 12 mm Hg
IODOXAMIC ACID,CHEMBL1615487,4.0,,1287.92,,,,,,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,chembl,chembl,chembl,,,,False,False,False,35740.0,,,,,,
IOBENGUANE I 131,CHEMBL1615779,4.0,,279.10,1.27,61.90,3.0,1.0,2.0,N=C(N)NCc1cccc([131I])c1,chembl,chembl,chembl,,,,False,False,False,71184.0,,,,,,
HYPOCHLOROUS ACID,CHEMBL1616046,4.0,,52.46,0.13,20.23,1.0,1.0,0.0,OCl,chembl,chembl,chembl,,,,False,False,False,,,,,,,
IPRATROPIUM,CHEMBL1621597,4.0,,332.46,2.85,46.53,1.0,3.0,5.0,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,chembl,chembl,chembl,IPRATROPIUM BROMIDE,2026-10-10,,False,False,False,657309.0,,,230.0,230 - 232 °C,,
XANTHINOL,CHEMBL1624126,4.0,,311.34,-2.28,105.52,2.0,9.0,6.0,CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,chembl,chembl,chembl,,,,False,False,False,,,,,,,
PYRANTEL,CHEMBL1626223,4.0,,206.31,2.50,15.60,0.0,3.0,2.0,CN1CCCN=C1/C=C/c1cccs1,chembl,chembl,chembl,,,,False,False,False,,,,,,,
HEXOCYCLIUM METHYLSULFATE,CHEMBL1626570,4.0,,428.60,2.85,23.47,1.0,2.0,4.0,COS(=O)(=O)[O-].C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,chembl,chembl,chembl,HEXOCYCLIUM METHYLSULFATE,,,False,False,False,101587.0,,,,,,
FLUOROESTRADIOL,CHEMBL1627367,4.0,,290.38,3.56,40.46,2.0,2.0,0.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O,chembl,chembl,chembl,,,,False,False,False,10401972.0,,,,,,
DOXEPIN,CHEMBL1628227,4.0,,279.38,3.96,12.47,0.0,2.0,3.0,CN(C)CCC=C1c2ccccc2COc2ccccc21,chembl,chembl,chembl,DOXEPIN HYDROCHLORIDE,2027-05-18,,False,False,False,3158.0,,,185.0,185-191 ºC,154.0,154-157 ºC at 0.03 mmHg
PROCAINE BENZYLPENICILLIN,CHEMBL1628385,4.0,,570.71,,,,,,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CCN(CC)CCOC(=O)c1ccc(N)cc1,chembl,chembl,chembl,,,,False,False,False,5903.0,,,,,,
GABAPENTIN ENACARBIL,CHEMBL1628502,4.0,,329.39,2.68,101.93,2.0,5.0,7.0,CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C,chembl,chembl,chembl,GABAPENTIN ENACARBIL,2026-04-11,,False,False,False,9883933.0,,,64.0,Melting onset of about 64°C.,,
CASPOFUNGIN,CHEMBL1630575,4.0,,1093.33,,,,,,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,chembl,chembl,chembl,CASPOFUNGIN ACETATE,2032-12-21,,False,False,False,16119814.0,,,,,,
FEXINIDAZOLE,CHEMBL1631694,4.0,,279.32,2.63,70.19,0.0,6.0,5.0,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,chembl,chembl,chembl,FEXINIDAZOLE,,2026-07-16,False,False,False,68792.0,,,,,,
RAMOSETRON,CHEMBL1643895,4.0,,279.34,2.89,50.68,1.0,3.0,2.0,Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21,chembl,chembl,chembl,,,,False,False,False,108000.0,,,,,,
SODIUM IODIDE,CHEMBL1644695,4.0,,149.89,,,,,,[I-].[Na+],chembl,chembl,chembl,,,,False,False,False,5238.0,1.0,1 MM HG @ 767 °C,651.0,651 °C,1304.0,1304 °C
TRELAGLIPTIN,CHEMBL1650443,4.0,,357.39,0.53,97.05,1.0,7.0,3.0,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,chembl,chembl,chembl,,,,False,False,False,15983988.0,,,,,,
PLAZOMICIN,CHEMBL1650559,4.0,,592.69,-5.36,269.29,11.0,15.0,13.0,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O,chembl,chembl,chembl,PLAZOMICIN SULFATE,2028-11-21,2023-06-25,False,False,False,42613186.0,,,,,,
AMDINOCILLIN PIVOXIL,CHEMBL1650818,4.0,,439.58,2.41,88.51,0.0,7.0,5.0,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,chembl,chembl,chembl,,,,False,False,False,115163.0,,,119.0,119 °C,,
FENTICONAZOLE,CHEMBL1651990,4.0,,455.41,7.30,27.05,0.0,4.0,8.0,Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,chembl,chembl,chembl,,,,False,False,False,,,,,,,
CEFTOBIPROLE MEDOCARIL FREE ACID,CHEMBL1652606,4.0,,690.67,-0.54,264.30,4.0,16.0,8.0,Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)O)N4C(=O)[C@@H](NC(=O)/C(=N/O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1,chembl,chembl,chembl,,,,False,False,False,135413544.0,,,,,,
ERIBULIN MESYLATE,CHEMBL1683544,4.0,,826.01,3.44,146.39,2.0,12.0,4.0,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C.CS(=O)(=O)O,chembl,chembl,chembl,ERIBULIN MESYLATE,2027-01-08,2025-09-13,False,False,False,17755248.0,,,,,,
ORITAVANCIN,CHEMBL1688530,4.0,,1793.12,,,,,,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,chembl,chembl,chembl,,,,False,False,False,16136912.0,,,,,,
AVIBACTAM,CHEMBL1689063,4.0,,265.25,-1.53,130.24,2.0,5.0,3.0,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,chembl,chembl,chembl,AVIBACTAM SODIUM,2026-01-07,2027-01-26,False,False,False,9835049.0,,,,,,
OMADACYCLINE,CHEMBL1689772,4.0,,556.66,1.32,176.66,6.0,10.0,6.0,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,chembl,chembl,chembl,OMADACYCLINE TOSYLATE,2029-03-05,2023-10-02,False,False,False,54697325.0,,,,,,
CLOFOREX,CHEMBL1697686,4.0,,255.75,3.41,38.33,1.0,2.0,4.0,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,chembl,chembl,chembl,,,,False,False,False,26602.0,,,,,,
AUROTHIOGLUCOSE,CHEMBL1697725,4.0,,392.18,,,,,,,,chembl,chembl,,,,False,False,False,,,,,,,
CLOTIAZEPAM,CHEMBL1697737,4.0,,318.83,3.78,32.67,0.0,3.0,2.0,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,chembl,chembl,chembl,,,,False,False,False,,,,,,,
ERDOSTEINE,CHEMBL1697744,4.0,,249.31,-0.05,83.47,2.0,5.0,5.0,O=C(O)CSCC(=O)NC1CCSC1=O,chembl,chembl,chembl,,,,False,False,False,,,,,,,
ISAXONINE PHOSPHATE,CHEMBL1697751,4.0,,235.18,1.30,37.81,1.0,3.0,2.0,CC(C)Nc1ncccn1.O=P(O)(O)O,chembl,chembl,chembl,,,,False,False,False,163093.0,,,,,,
MUZOLIMINE,CHEMBL1697760,4.0,,272.14,2.56,58.69,1.0,3.0,2.0,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,chembl,chembl,chembl,,,,False,False,False,41386.0,,,,,,
SODIUM PICOSULFATE,CHEMBL1697768,4.0,,481.42,2.63,140.09,2.0,7.0,7.0,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1.[Na+].[Na+],chembl,chembl,chembl,SODIUM PICOSULFATE,2028-10-10,,False,False,False,68654.0,,,,,,
ISOMETHEPTENE,CHEMBL1697841,4.0,,141.26,2.34,12.03,1.0,1.0,4.0,CNC(C)CCC=C(C)C,chembl,chembl,chembl,,,,False,False,False,,,,,,,
BUCETIN,CHEMBL1697856,4.0,,223.27,1.79,58.56,2.0,3.0,5.0,CCOc1ccc(NC(=O)CC(C)O)cc1,chembl,chembl,chembl,,,,False,False,False,14130.0,,,,,,
TERCONAZOLE,CHEMBL1714574,4.0,,532.47,4.46,64.88,0.0,8.0,8.0,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,chembl,chembl,chembl,TERCONAZOLE,,,False,False,False,441383.0,,,126.3,126.3 °C,,
ALECTINIB,CHEMBL1738797,4.0,,482.63,4.77,72.36,1.0,5.0,3.0,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,chembl,chembl,chembl,ALECTINIB HYDROCHLORIDE,2030-06-09,2027-04-18,True,True,False,49806720.0,,,,,,
LEVOPROPOXYPHENE,CHEMBL1738990,4.0,,339.48,4.28,29.54,0.0,3.0,8.0,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,chembl,chembl,chembl,,,,False,False,False,200742.0,,,75.0,75-76ºC,,
PICOSULFURIC ACID,CHEMBL1741134,4.0,,437.45,2.63,140.09,2.0,7.0,7.0,O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,chembl,chembl,chembl,,,,False,False,False,5243.0,,,,,,
BILASTINE,CHEMBL1742423,4.0,,463.62,4.86,67.59,1.0,5.0,10.0,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,chembl,chembl,chembl,,,,False,False,False,,,,,,,
LANDIOLOL,CHEMBL1742466,4.0,,509.60,0.69,127.82,3.0,9.0,13.0,CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1,chembl,chembl,chembl,LANDIOLOL HYDROCHLORIDE,2034-04-25,2029-02-13,False,False,False,114905.0,,,122.0,122-125,,
EBROTIDINE,CHEMBL1742471,4.0,,477.44,2.05,135.82,3.0,6.0,9.0,NC(N)=Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,chembl,chembl,chembl,,,,False,False,False,65869.0,,,,,,
DIQUAFOSOL TETRASODIUM,CHEMBL1767408,4.0,,878.24,-4.19,404.45,10.0,21.0,14.0,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+].[Na+].[Na+],chembl,chembl,chembl,,,,False,False,False,148196.0,,,,,,
ERTUGLIFLOZIN,CHEMBL1770248,4.0,,436.89,1.36,108.61,4.0,7.0,6.0,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,chembl,chembl,chembl,ERTUGLIFLOZIN,2026-11-24,,False,False,False,44814423.0,,,,,,
NIROGACESTAT,CHEMBL1770916,4.0,,489.66,4.79,70.98,3.0,5.0,10.0,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,chembl,chembl,chembl,NIROGACESTAT HYDROBROMIDE,2030-08-18,2028-11-27,False,False,False,46224413.0,,,,,,
FLORBETAPIR F 18,CHEMBL1774461,4.0,,359.43,3.68,52.61,1.0,5.0,12.0,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,chembl,chembl,chembl,,,,False,False,False,24822371.0,,,,,,
EVOGLIPTIN,CHEMBL1779710,4.0,,401.43,1.51,84.66,2.0,4.0,6.0,CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,chembl,chembl,chembl,,,,False,False,False,25022354.0,,,,,,
TILBROQUINOL,CHEMBL1788385,4.0,,238.08,3.01,33.12,1.0,2.0,0.0,Cc1cc(Br)c(O)c2ncccc12,chembl,chembl,chembl,,,,False,False,False,65592.0,,,,,,
TETRAMETHRIN,CHEMBL1788386,4.0,,331.41,2.96,63.68,0.0,4.0,4.0,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,chembl,chembl,chembl,,,,False,False,False,83975.0,7.08e-06,0.00000708 [mmHg],68.0,68-70 °C,180.0,180-190 °C at 0.1 mm Hg
BIOALLETHRIN,CHEMBL1788403,4.0,,302.41,4.00,43.37,0.0,3.0,5.0,C=CCC1=C(C)C(OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,chembl,chembl,chembl,,,,False,False,False,15558638.0,0.1875159388548026,"Vapor pressure, Pa at 25 °C:",,,165.0,165-170
RUXOLITINIB,CHEMBL1789941,4.0,,306.37,3.47,83.18,1.0,5.0,4.0,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,chembl,chembl,chembl,RUXOLITINIB PHOSPHATE,2026-12-12,2025-07-18,False,False,False,25126798.0,,,,,,
RANITIDINE,CHEMBL1790041,4.0,,314.41,1.46,83.58,2.0,7.0,10.0,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,chembl,chembl,chembl,RANITIDINE HYDROCHLORIDE,,,False,False,False,3001055.0,,,69.0,69-70 °C,,
HELIUM,CHEMBL1796997,4.0,,4.00,,,,,,[He],chembl,chembl,chembl,,,,False,False,False,23987.0,,,-272.2,-272.2 °C,-268.928,-268.928 °C
SULFUR HEXAFLUORIDE,CHEMBL1796998,4.0,,146.06,3.17,0.00,0.0,0.0,0.0,FS(F)(F)(F)(F)F,chembl,chembl,chembl,,,,False,False,False,17358.0,16340.0,"21.5 atm (NIOSH, 2024)",-63.888888888888886,"-83 °F (Sublimes) (NIOSH, 2024)",2024.0,"Sublimes (NIOSH, 2024)"
RELUGOLIX,CHEMBL1800159,4.0,,623.64,3.75,132.61,2.0,11.0,9.0,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,chembl,chembl,chembl,RELUGOLIX,2026-01-28,2026-01-27,True,True,False,10348973.0,,,,,,
METABROMSALAN,CHEMBL1801800,4.0,,371.03,4.17,49.33,2.0,2.0,2.0,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O,chembl,chembl,chembl,,,,False,False,False,17404.0,,,,,,
BEXAGLIFLOZIN,CHEMBL1808388,4.0,,464.94,2.00,108.61,4.0,7.0,9.0,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,chembl,chembl,chembl,BEXAGLIFLOZIN,2028-08-22,2028-01-20,False,False,False,25195624.0,,,,,,
INFIGRATINIB PHOSPHATE,CHEMBL1834657,4.0,,658.48,5.35,95.09,2.0,8.0,8.0,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O,chembl,chembl,chembl,INFIGRATINIB PHOSPHATE,2028-08-06,2026-05-28,False,False,False,56669626.0,,,,,,
INGENOL MEBUTATE,CHEMBL1863513,4.0,,430.54,2.33,104.06,3.0,6.0,3.0,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,chembl,chembl,chembl,INGENOL MEBUTATE,2026-12-18,,False,False,False,6918670.0,,,,,,
DIBUNIC ACID,CHEMBL1865134,4.0,,320.45,4.68,54.37,1.0,2.0,1.0,CC(C)(C)c1ccc2c(S(=O)(=O)O)c(C(C)(C)C)ccc2c1,chembl,chembl,chembl,,,,False,False,False,84746.0,,,,,,
IBRUTINIB,CHEMBL1873475,4.0,,440.51,4.22,99.16,1.0,7.0,5.0,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,chembl,chembl,chembl,IBRUTINIB,2026-12-28,2025-08-24,True,True,False,24821094.0,,,149.0,149-158ºC,,
CINEPAZIDE,CHEMBL1874750,4.0,,417.51,1.49,71.55,0.0,6.0,7.0,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC,chembl,chembl,chembl,,,,False,False,False,5282459.0,,,,,,
TROSPIUM,CHEMBL1888176,4.0,,392.52,3.77,46.53,1.0,3.0,4.0,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,chembl,chembl,chembl,TROSPIUM CHLORIDE,2030-07-21,2029-09-26,False,False,False,5284632.0,,,,,,
PERFLENAPENT,CHEMBL1899801,4.0,,288.03,4.02,0.00,0.0,0.0,2.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,chembl,chembl,chembl,,,,False,False,False,12675.0,,,,,,
TIOTROPIUM,CHEMBL1900528,4.0,,392.52,2.35,59.06,1.0,6.0,4.0,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,chembl,chembl,chembl,TIOTROPIUM BROMIDE,2026-01-19,,False,False,False,5487427.0,,,,,,
FLOSEQUINAN,CHEMBL1908307,4.0,,239.27,1.42,45.06,0.0,3.0,1.0,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21,chembl,chembl,chembl,,,,False,False,False,4474062.0,,,,,,
GEMEPROST,CHEMBL1908315,4.0,,394.55,3.98,83.83,2.0,5.0,12.0,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC/C=C/C(=O)OC,chembl,chembl,chembl,,,,False,False,False,,,,,,,
SPARTEINE SULFATE,CHEMBL1908348,4.0,,422.54,2.35,6.48,0.0,2.0,0.0,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1.O.O.O.O.O.O=S(=O)(O)O,chembl,chembl,chembl,,,,False,False,False,72325.0,,,,,,
SODIUM MONOFLUOROPHOSPHATE,CHEMBL1908359,4.0,,143.95,,,,,,O=P([O-])([O-])F.[Na+].[Na+],chembl,chembl,chembl,SODIUM MONOFLUOROPHOSPHATE,,,False,False,False,24266.0,,,,,,
EVEROLIMUS,CHEMBL1908360,4.0,,958.24,6.20,204.66,3.0,14.0,9.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,chembl,chembl,chembl,EVEROLIMUS,2025-11-01,,True,True,False,6442177.0,,,,,,
LEVOLEUCOVORIN CALCIUM,CHEMBL1908361,4.0,,511.51,-0.73,219.84,7.0,9.0,10.0,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],chembl,chembl,chembl,LEVOLEUCOVORIN CALCIUM,2039-03-25,,False,False,False,135500522.0,,,,,,
GADOFOSVESET TRISODIUM,CHEMBL1908362,4.0,,957.87,,,,,,,,chembl,chembl,GADOFOSVESET TRISODIUM,,,False,False,False,73049652.0,,,,,,
FINAFLOXACIN,CHEMBL1908370,4.0,,398.39,1.22,107.59,2.0,7.0,3.0,N#Cc1c(N2C[C@@H]3NCCO[C@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,chembl,chembl,chembl,FINAFLOXACIN,2030-07-02,,False,False,False,11567473.0,,,,,,
PYRVINIUM PAMOATE,CHEMBL1908377,4.0,,1151.42,5.31,12.05,0.0,2.0,4.0,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,chembl,chembl,chembl,PYRVINIUM PAMOATE,,,False,False,False,54680693.0,,,210.0,"410 to 419 °F (NTP, 1992)",,
GADOFOSVESET,CHEMBL1908843,4.0,,894.95,,,,,,,,chembl,chembl,,,,False,False,False,73415770.0,,,,,,
FLORBETABEN,CHEMBL1908906,4.0,,359.44,4.28,39.72,1.0,4.0,12.0,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)cc2)cc1,chembl,chembl,chembl,,,,False,False,False,11501341.0,,,,,,
FLUCICLOVINE,CHEMBL1908917,4.0,,133.12,-0.10,63.32,2.0,2.0,1.0,N[C@]1(C(=O)O)C[C@@H](F)C1,chembl,chembl,chembl,,,,False,False,False,10820564.0,,,,,,
FLORBETAPIR,CHEMBL1908919,4.0,,360.43,3.68,52.61,1.0,5.0,12.0,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,chembl,chembl,chembl,,,,False,False,False,24822371.0,,,,,,
